gi_no,categories
281253,이펙트·FX
282730,인터페이스 디자인;모델링;애니메이션;이펙트·FX
282532,사무·회계;재무;회계;세무;주식IR
282529,사무·회계;재무;회계;세무;주식IR
282312,게임개발(모바일);모델링;애니메이션;이펙트·FX;엔진
282690,게임기획
281781,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
281782,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
281783,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
281786,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
281785,게임개발(클라이언트)
282648,게임개발(클라이언트)
282644,원화
282619,플랫폼 디자인;BX·브랜드 디자인
282618,게임기획
282613,게임개발(클라이언트);이펙트·FX
282612,애니메이션
282611,애니메이션
282609,이펙트·FX
282608,모델링
282500,게임기획;사업기획(국내);사업기획(해외);사업관리
282587,사업기획(국내);사업기획(해외);전략기획;사업관리;정보·빅데이터 분석
282501,게임개발(클라이언트);게임개발(모바일);게임기획;엔진
282540,원화;모델링
282535,게임개발(모바일);이펙트·FX
282523,게임AI 개발
282521,게임개발(클라이언트);게임개발(모바일)
282504,게임운영
282412,영상제작·편집
282499,인터페이스 디자인;모델링;애니메이션;이펙트·FX;플랫폼 디자인
282482,사업기획(국내);사업기획(해외);전략기획;사업관리
282488,모델링
282491,원화
282483,게임운영
278865,교육;강사
266440,원화;애니메이션
266444,모델링
282463,네트워크;시스템·DB;보안
282468,게임기획
282444,모델링
282442,게임운영;해외 마케팅
282441,사무·회계;재무;회계;세무
282437,플랫폼 디자인;BX·브랜드 디자인
282436,게임기획
279622,모델링
279241,게임개발(모바일);게임기획
267711,게임기획
275078,게임개발(모바일);서버
272568,애니메이션
268191,게임개발(클라이언트)
280538,애니메이션
280540,원화;애니메이션
282411,사업기획(해외);사업관리;번역
282409,사업기획(해외);사업관리;번역
282408,사업기획(해외);사업관리;번역
282407,게임AI 개발
281008,게임기획;사업기획(국내)
280944,원화;모델링
281011,모델링
281012,원화
281014,모델링
266439,게임개발(모바일);게임기획
277512,원화;모델링
277513,게임기획
282381,사업기획(국내);사무·회계;재무;회계;경리
281087,게임개발(모바일);원화
282340,마케팅;해외 마케팅
281343,게임기획
281344,애니메이션
281345,모델링
281346,게임개발(클라이언트)
281808,이펙트·FX
281836,이펙트·FX
282142,전략기획;사업관리;퍼블리싱
279070,시스템·DB;보안;정보·빅데이터 분석;재무;회계
281052,사업기획(국내);교육
279893,게임개발(클라이언트)
281590,게임기획
281652,이펙트·FX
279895,게임개발(클라이언트);게임개발(모바일)
279896,게임개발(클라이언트);게임개발(모바일)
281178,게임기획
280526,게임개발(클라이언트);엔진
281930,게임개발(클라이언트);엔진
281931,게임개발(클라이언트);엔진
280154,사업기획(국내);사업기획(해외);전략기획;법무
280153,사업기획(국내);전략기획;법무
279383,총무
271194,게임AI 개발
281449,교육
277521,게임AI 개발
279313,모델링
282200,인터페이스 디자인
279065,법무
279337,전략기획;경영분석;재무;주식IR
279335,사업기획(해외);사무·회계;재무;회계
279381,사업기획(해외);전략기획;마케팅;홍보
279133,모델링;이펙트·FX
280848,게임AI 개발;전략기획;교육
281793,사운드 제작
275806,게임AI 개발;정보·빅데이터 분석
276254,게임AI 개발
273568,게임AI 개발;정보·빅데이터 분석
279629,게임AI 개발;정보·빅데이터 분석
277427,게임AI 개발;정보·빅데이터 분석
282212,게임개발(모바일);게임AI 개발;인터페이스 디자인;모델링;애니메이션
282208,사업기획(해외);홍보;퍼블리싱;소싱/라이선싱;채널링
282194,사업기획(국내);사업기획(해외);사업관리;마케팅;해외 마케팅
281659,게임기획
282139,사업기획(국내);전략기획;사업관리
282131,애니메이션
282130,원화
282129,원화
282128,원화
282126,게임기획
282125,게임기획
282108,사업기획(해외);사업관리;경영분석;정보·빅데이터 분석;리서치
282065,게임개발(클라이언트)
282064,게임개발(클라이언트)
282063,모델링
282062,게임개발(클라이언트);게임개발(모바일);엔진
282026,게임기획
282061,사업관리;퍼블리싱
282053,게임운영
282035,게임개발(클라이언트)
282025,원화
281607,게임개발(클라이언트);게임개발(모바일)
281977,게임개발(모바일);QA·테스터
281666,게임기획
281968,인터페이스 디자인;모델링;애니메이션;이펙트·FX
279165,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
281380,게임AI 개발;플랫폼 개발;정보·빅데이터 분석;마케팅;통계
281869,모델링;이펙트·FX
281837,게임운영;정보·빅데이터 분석
264251,영상제작·편집
281823,게임기획
281800,원화
281797,게임기획
281792,애니메이션
281750,게임개발(클라이언트);게임AI 개발
281697,게임AI 개발;게임기획
281700,게임기획
281701,애니메이션
281696,게임AI 개발;게임기획
281695,원화
281739,게임기획
281683,모델링
281682,모델링
